Tanggal,Kode_Emiten,Volatilitas_Aktual,Volatilitas_Pred_XGB_Sentimen_t1,Error_Abs
2025-02-13,ADRO,0.018199,0.025908,0.007709
2025-02-14,ADRO,0.01825,0.025908,0.007658
2025-02-17,ADRO,0.018229,0.025908,0.007679
2025-02-18,ADRO,0.01823,0.025908,0.007678
2025-02-19,ADRO,0.018305,0.025908,0.007603
2025-02-20,ADRO,0.018072,0.026098,0.008027
2025-02-21,ADRO,0.018077,0.025908,0.007831
2025-02-24,ADRO,0.019837,0.025908,0.006071
2025-02-25,ADRO,0.019756,0.026098,0.006342
2025-02-26,ADRO,0.019999,0.025908,0.005909
2025-02-27,ADRO,0.019583,0.026098,0.006516
2025-02-28,ADRO,0.019592,0.026098,0.006506
2025-03-03,ADRO,0.024018,0.026098,0.002081
2025-03-04,ADRO,0.023451,0.026098,0.002647
2025-03-05,ADRO,0.029959,0.026098,0.003861
2025-03-06,ADRO,0.03026,0.026098,0.004161
2025-03-07,ADRO,0.03107,0.026098,0.004972
2025-03-10,ADRO,0.03135,0.026444,0.004906
2025-03-11,ADRO,0.029282,0.026444,0.002838
2025-03-12,ADRO,0.029526,0.026095,0.003432
2025-03-13,ADRO,0.029422,0.026098,0.003323
2025-03-14,ADRO,0.028848,0.026098,0.002749
2025-03-17,ADRO,0.028842,0.026098,0.002743
2025-03-18,ADRO,0.02898,0.026098,0.002881
2025-03-19,ADRO,0.028954,0.026098,0.002855
2025-03-20,ADRO,0.02904,0.026098,0.002942
2025-03-21,ADRO,0.029123,0.026098,0.003025
2025-03-24,ADRO,0.02825,0.026098,0.002151
2025-03-25,ADRO,0.031396,0.026098,0.005297
2025-03-26,ADRO,0.031325,0.026098,0.005227
2025-03-27,ADRO,0.039624,0.026098,0.013525
2025-04-08,ADRO,0.039756,0.026098,0.013658
2025-04-09,ADRO,0.03811,0.026098,0.012012
2025-04-10,ADRO,0.03825,0.026098,0.012152
2025-04-11,ADRO,0.034225,0.026098,0.008126
2025-04-14,ADRO,0.034486,0.026444,0.008042
2025-04-15,ADRO,0.033304,0.026098,0.007205
2025-04-16,ADRO,0.032473,0.026098,0.006374
2025-04-17,ADRO,0.032485,0.026098,0.006387
2025-04-21,ADRO,0.033771,0.025908,0.007863
2025-04-22,ADRO,0.033255,0.026098,0.007156
2025-04-23,ADRO,0.033368,0.026098,0.00727
2025-04-24,ADRO,0.033234,0.026098,0.007135
2025-04-25,ADRO,0.033285,0.026098,0.007187
2025-04-28,ADRO,0.033285,0.026095,0.007191
2025-04-29,ADRO,0.033285,0.026098,0.007187
2025-04-30,ADRO,0.032598,0.026098,0.006499
2025-05-02,ADRO,0.032793,0.026098,0.006694
2025-05-05,ADRO,0.03067,0.026098,0.004572
2025-05-06,ADRO,0.030792,0.026098,0.004694
2025-05-07,ADRO,0.014326,0.026098,0.011773
2025-05-08,ADRO,0.015661,0.026098,0.010437
2025-05-09,ADRO,0.015826,0.025908,0.010082
2025-05-14,ADRO,0.015866,0.026098,0.010233
2025-05-15,ADRO,0.029034,0.026098,0.002936
2025-05-16,ADRO,0.032565,0.026098,0.006466
2025-05-19,ADRO,0.035261,0.026098,0.009162
2025-05-20,ADRO,0.035975,0.026095,0.00988
2025-05-21,ADRO,0.036082,0.026098,0.009984
2025-05-22,ADRO,0.035946,0.026444,0.009501
2025-05-23,ADRO,0.035676,0.026444,0.009231
2025-05-26,ADRO,0.040457,0.026444,0.014013
2025-05-27,ADRO,0.041967,0.026444,0.015522
2025-05-28,ADRO,0.042907,0.026098,0.016808
2025-06-02,ADRO,0.043123,0.026098,0.017025
2025-06-03,ADRO,0.043123,0.026098,0.017025
2025-06-04,ADRO,0.043024,0.026444,0.016579
2025-06-05,ADRO,0.042864,0.026444,0.01642
2025-06-10,ADRO,0.042863,0.026444,0.016419
2025-06-11,ADRO,0.04285,0.026098,0.016752
2025-06-12,ADRO,0.042942,0.026095,0.016848
2025-06-13,ADRO,0.042452,0.026098,0.016354
2025-06-16,ADRO,0.042101,0.026444,0.015657
2025-06-17,ADRO,0.042156,0.025908,0.016247
2025-06-18,ADRO,0.034145,0.026444,0.007701
2025-06-19,ADRO,0.029571,0.026444,0.003127
2025-06-20,ADRO,0.028596,0.026098,0.002498
2025-06-23,ADRO,0.028487,0.026098,0.002388
2025-06-24,ADRO,0.028614,0.026098,0.002516
2025-06-25,ADRO,0.028331,0.026098,0.002233
2025-06-26,ADRO,0.028918,0.026444,0.002474
2025-06-30,ADRO,0.018714,0.026098,0.007385
2025-07-01,ADRO,0.017932,0.026098,0.008167
2025-07-02,ADRO,0.016896,0.026098,0.009202
2025-07-03,ADRO,0.016777,0.026098,0.009321
2025-07-04,ADRO,0.016756,0.026098,0.009343
2025-07-07,ADRO,0.016512,0.025908,0.009396
2025-07-08,ADRO,0.016523,0.026098,0.009576
2025-07-09,ADRO,0.021428,0.026098,0.004671
2025-07-10,ADRO,0.021847,0.026098,0.004251
2025-07-11,ADRO,0.021661,0.026098,0.004438
2025-07-14,ADRO,0.021599,0.026098,0.004499
2025-07-15,ADRO,0.021974,0.025908,0.003934
2025-07-16,ADRO,0.021976,0.026098,0.004123
2025-07-17,ADRO,0.020922,0.026098,0.005176
2025-07-18,ADRO,0.020475,0.025908,0.005433
2025-07-21,ADRO,0.020828,0.026098,0.005271
2025-07-22,ADRO,0.021457,0.026098,0.004642
2025-07-23,ADRO,0.02181,0.026098,0.004288
2025-07-24,ADRO,0.023244,0.026098,0.002854
2025-07-25,ADRO,0.022831,0.026098,0.003267
2025-07-28,ADRO,0.022854,0.026444,0.00359
2025-07-29,ADRO,0.021747,0.026095,0.004347
2025-07-30,ADRO,0.022632,0.026098,0.003466
2025-07-31,ADRO,0.022629,0.026098,0.00347
2025-08-01,ADRO,0.02271,0.025908,0.003198
2025-08-04,ADRO,0.023286,0.026098,0.002813
2025-08-05,ADRO,0.023283,0.026098,0.002815
2025-08-06,ADRO,0.019755,0.025908,0.006153
2025-08-07,ADRO,0.021744,0.025908,0.004165
2025-08-08,ADRO,0.021282,0.026098,0.004817
2025-08-11,ADRO,0.022113,0.026098,0.003985
2025-08-12,ADRO,0.022239,0.026098,0.00386
2025-08-13,ADRO,0.022239,0.026098,0.00386
2025-08-14,ADRO,0.022538,0.026095,0.003556
2025-08-15,ADRO,0.021597,0.026098,0.004501
2025-08-19,ADRO,0.019104,0.026098,0.006994
2025-08-20,ADRO,0.017755,0.026098,0.008344
2025-08-21,ADRO,0.017351,0.026098,0.008748
2025-08-22,ADRO,0.016663,0.026098,0.009436
2025-08-25,ADRO,0.016505,0.026098,0.009594
2025-08-26,ADRO,0.019307,0.026098,0.006791
2025-08-27,ADRO,0.019596,0.026098,0.006502
2025-08-28,ADRO,0.018876,0.026098,0.007223
2025-08-29,ADRO,0.019086,0.026444,0.007358
2025-09-01,ADRO,0.018365,0.026444,0.00808
2025-09-02,ADRO,0.018222,0.026444,0.008222
2025-09-03,ADRO,0.018816,0.026098,0.007282
2025-09-04,ADRO,0.019235,0.026444,0.007209
2025-09-08,ADRO,0.017332,0.026098,0.008766
2025-09-09,ADRO,0.017031,0.026098,0.009068
2025-09-10,ADRO,0.015416,0.026098,0.010683
2025-09-11,ADRO,0.015193,0.026444,0.011251
2025-09-12,ADRO,0.015212,0.026444,0.011232
2025-09-15,ADRO,0.015281,0.026098,0.010818
2025-09-16,ADRO,0.015896,0.026098,0.010202
